node,CLUSTER,s_eq,eigenvector_centrality,conexiones_anomalas,indice_frontera,d_anom,p_anom,degree_total
Mira Terada,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Piotr Chuvajin,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Huma Siddiqui,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Ezequiel Agustin Vega,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Armada,0,-1.0,0.0,0.0,0.0,0,0.0,2
Laura Albornoz,-1,-1.0,0.011662915429080755,0.0,0.0,0,0.0,4
Moisés Montiel Torres,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
David Mencer,0,-1.0,0.0,0.0,0.0,0,0.0,2
Michael Milshtein,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Brazilian Presidency of BRICS+,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
BRICS+ Member States,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Public Financial Institutions,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Companies and Communities,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Ejército israelí,0,1.0,0.0,0.0,0.0,0,0.0,2
Estado hebreo,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Abanderada de SD,-1,-1.0,-8.2175409813562295e-19,0.0,0.0,0,0.0,1
Nicole Valdebenito,-1,-1.0,0.004410939005816285,0.0,0.0,0,0.0,4
Moisés Bastardo,0,1.0,0.0,0.0,0.0,0,0.0,2
Rafael Mariano Grossi,0,1.0,0.0,0.0,0.0,0,0.0,3
Gloria Trevi,-1,-1.0,0.0003277564616494713,0.0,0.0,0,0.0,1
Jude Bellingham,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Isabel Orellana Guarello,1,-1.0,-0.03393029616553085,0.0,0.0,0,0.0,3
Hillary Clinton,-1,-0.3333333333333333,0.006206410619055272,1.0,0.23104906018664842,0,0.0,3
Sandro Gozi,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Jesika Roswall,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Paula Pinho,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Luka Tudor,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Waldo Ponce,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Soledad Pérez,-1,-1.0,-0.0014857303519577965,0.0,0.0,0,0.0,4
Daniel Fernández,1,1.0,5.123256059591103e-19,0.0,0.0,0,0.0,1
Congress,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Employers,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Milko Leguas,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Ricardo Abumohor,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Reinaldo Sánchez,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Juan Cristóbal Portales,0,1.0,0.0,0.0,0.0,0,0.0,1
Alex Clark,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Francisca Junemann,0,1.0,0.0,0.0,0.0,0,0.0,2
Instituto Libertad y Desarrollo,0,-1.0,0.0,0.0,0.0,0,0.0,2
Daniel Soto,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
María José del Solar,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Malito Malozo,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Giannina González Michea,0,0.0,0.0,3.0,0.6931471805599453,0,0.0,6
Adriana Peñafiel,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Vinka Pusich,0,0.0,0.0,2.5,0.626381484247684,0,0.0,5
Marcelo Olguín,-1,-1.0,-0.00031340692426993285,0.0,0.0,0,0.0,2
Pacto de Unidad,-1,-1.0,0.0003134069242699311,0.0,0.0,0,0.0,2
Abás Araghchi,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Karen Astorga,-1,-1.0,0.0035424006090225405,0.0,0.0,0,0.0,2
Harold Mayne-Nicolls,1,0.3333333333333333,-0.0003702574183433507,1.3333333333333335,0.28243262012906795,0,0.0,4
Nicolás Preuss,1,0.0,-0.0005785799933689681,1.5,0.45814536593707755,0,0.0,3
Dani Salfate,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Quique Neira,1,-1.0,-0.007708363223535297,0.0,0.0,0,0.0,2
CONMEBOL,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Fortaleza,0,-1.0,0.0,0.0,0.0,0,0.0,2
Racing Club,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Roberto Rosinelli,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Hermann Heim,0,-0.5,0.0,1.25,0.2027325540540822,0,0.0,5
Zulemita Menem,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Víctor Nuñez,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
David Cabedo,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Rocío Berríos,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Gustavo Toro,-1,1.0,-0.001231879482294691,0.0,0.0,0,0.0,3
Nicolás Fernandois,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
